Sample_ID,gridage,gridcrust,gridsubcrust,gridlith,gridsublith,gridsed,gridsubsed,gridserp,gridsubserp,Plot_unit,Rock_Types,Age_Min,Age_Max,vol
-1,14.189574318636966,6.3573328649027015e-06,9.185565462748684e-05,4.621496557822386e-06,4.621496557822386e-06,1.5896336862741316e-05,0.00012266059266289022,9.463069136809744e-07,5.240995743420419e-05,Te Raupua,basaltic,Oligocene,Oligocene,1
0,4.595239639282227,7.105836459802718e-06,9.533712643209929e-05,4.360116786811862e-06,4.360116786811862e-06,1.5958114090608433e-05,0.00012698662511350292,6.511110241919531e-08,5.0119983125348857e-05,Allochthon,basaltic,Miocene,Cretaceous,1
0,14.879534285407647,6.38036943721006e-06,9.193846302026628e-05,4.613452115503616e-06,4.613452115503616e-06,1.590170119105676e-05,0.00012286263661829874,9.191864948060531e-07,5.250444902643538e-05,Te Raupua,basaltic,Oligocene,Oligocene,1
0,24.24180793620718,7.0181716511429095e-06,8.871871888188372e-05,5.3595857983764086e-06,5.3595857983764086e-06,1.1106217821250168e-05,5.993136756735139e-05,3.193547905340722e-06,5.5189434662363255e-05,Arc,basaltic,Miocene,Cretaceous,1
0,3.0,5.240729183077939e-06,0.000104187742767643,4.75979557889561e-06,4.75979557889561e-06,1.6446740119135942e-05,7.565990627219535e-05,1.224462303848743e-06,0.00024115871526420108,Horomaka,basaltic & lava flow,Miocene,Cretaceous,1
-1,24.781708353487677,6.979851173912218e-06,9.283942225370761e-05,5.2132119491377965e-06,5.2132119491377965e-06,1.1086812264693435e-05,6.337120017886035e-05,2.854602597536557e-06,4.64319126557104e-05,Arc,basaltic,Miocene,Cretaceous,1
0,19.250290759501016,6.792523120413924e-06,1.8565800153711473e-05,5.239437490893934e-06,5.239437490893934e-06,1.1280319995421449e-05,1.2671519094358853e-05,2.875964127959418e-06,1.169650484536463e-05,Arc,basaltic,Miocene,Cretaceous,1
-1,18.929487228393555,6.742208370269509e-06,8.651696796950587e-06,7.518945949414046e-06,7.518945949414046e-06,1.5593896023347046e-05,4.712970506121818e-06,5.127120995894075e-06,2.4109140246862217e-06,Horomaka,basaltic,Miocene,Miocene,1
-1,13.892972946166992,6.6241755812544685e-06,0.00010677923506575273,6.176266877887944e-06,6.176266877887944e-06,1.1690911834594624e-05,5.506908201318716e-05,4.447265518354513e-06,8.373124890107313e-05,Arc,basaltic,Miocene,Cretaceous,1
0,19.17207908630371,6.664477950835135e-06,0.00013414184034229217,5.6476692407159135e-06,5.6476692407159135e-06,1.1258372069278266e-05,8.056341880841252e-05,3.7239741533994684e-06,8.132845862472712e-05,Back arc basin,"basaltic & Fe, Mn",Pliocene,Cretaceous,1
-1,2.198452578614268,4.763303051376984e-06,6.512616633533808e-05,2.2324408068499966e-05,2.2324408068499966e-05,4.564805749396329e-06,3.7320238500728005e-05,5.576360819420507e-06,4.3601426544783115e-05,Back arc basin,basaltic,Pliocene,Cretaceous,1
-1,25.656007293065823,6.754706191713922e-06,6.0834345733395445e-05,5.578205673373304e-06,5.578205673373304e-06,1.0793226465466432e-05,1.0290588980538541e-05,3.6249421536922463e-06,9.693949360829836e-05,Horomaka,basaltic,Pliocene,Oligocene,1
